country_code,life_expectancy,pm25,water_access,mortality,health_exp,gdp,co2_emissions,forest_area,renewable_energy,hdi
AFG,61.272690000000004,0.0052060000000000006,78.13857666666667,89.55988888888889,14.83132,496.6025042585,0.712772447023825,1.85278199408184,18.9,0.492
AGO,62.491299999999995,2.112226,52.14480666666666,49.78788888888889,2.47519,2189.85571407618,2.15936479633818,53.8721745407877,51.0,0.597
ALB,77.99601,1.7537559999999999,94.59167666666667,30.506555555555558,6.86214,5460.42823730592,3.01962973045602,28.7919708029197,40.1,0.8
ARE,81.55935666666666,0.84088,100.0,22.144055555555557,4.40291,44251.4541390148,26.6352240708422,4.46775556181357,0.7,0.933
ARG,76.9764,3.05559,99.76172,10.195888888888888,10.15551,9955.97478680428,8.02531448266216,10.4801786099266,10.7,0.853
ARM,75.42392666666666,1.6319379999999999,99.93818333333333,25.472277777777776,11.3798,4597.22887399548,3.19713080168776,11.5447839831401,10.3,0.789
ATG,75.59372666666667,4.494898,98.37619333333333,6.454666666666666,4.40662,18884.3729680383,4.45689768398932,18.5909090909091,0.7,0.831
AUS,82.64474333333334,3.801332,99.97828333333332,3.2878333333333334,10.21285,54972.7017885437,24.0447595732451,17.4213145571644,10.3,0.941
AUT,81.62453333333333,4.68,100.0,5.906444444444444,10.48754,49885.9947355204,9.39844052649123,47.1037324285022,34.0,0.92
AZE,75.75481333333333,0.35005,95.27809333333333,41.061499999999995,4.18189,4805.75371765917,5.6243723366549,13.5533670481767,1.7,0.762
BDI,64.30702000000001,1.238942,70.14973333333334,70.31633333333333,9.05011,210.236494521532,0.49856650197106,10.8894080996885,84.8,0.423
BEL,81.58903,3.68853,100.0,5.1895,10.75969,46716.6227467964,10.7680403308214,22.604446776415,10.2,0.936
BEN,64.16083333333334,2.0741579999999997,66.88207,69.36872222222222,2.50914,1130.82135304977,1.34892201507768,28.2471621142249,46.5,0.506
BFA,62.582966666666664,2.889226,54.99121,70.37872222222222,5.36803,764.853077774946,1.54771368620632,22.9035087719298,72.7,0.446
BGD,73.95104333333335,0.0016579999999999998,97.82441999999999,48.05605555555556,2.25762,2129.79896954606,1.55140537539614,14.4687716063609,26.1,0.646
BHR,76.09393,0.581388,99.92184,22.462722222222222,3.9598,27259.7438599327,42.4734929462796,0.871794871794872,0.0,0.888
BHS,70.69272333333333,3.784776,98.88696,3.5285555555555552,5.86801,32979.5401279534,5.39405840248306,50.9350649350649,1.1,0.802
BIH,77.09982000000001,2.130334,96.10091,38.85022222222222,8.92544,6122.3753450882,9.12434580678176,42.7326171875,36.8,0.78
BLR,74.73363333333333,4.0548459999999995,98.05369666666667,24.71677777777778,5.86134,6837.76832136779,9.69671407694338,43.1261547557461,7.8,0.81
BLZ,74.93071333333333,2.372236,98.42490666666667,13.263666666666667,4.84424,6190.04792278445,2.28313579331777,56.4756685664182,30.4,0.718
BOL,72.91335666666667,1.192676,89.77496000000001,25.514555555555557,6.88793,3503.8960106182,4.3853146490057,47.1095356780209,13.5,0.715
BRA,75.47689333333334,2.527266,97.29237,9.65011111111111,9.61449,9029.83326742175,5.8827215532564,59.5585261792696,47.5,0.764
BRB,75.99243666666666,4.010888,98.51445,6.311888888888889,6.12044,20583.7265786414,3.66882758964037,14.6511627906977,3.4,0.806
BRN,76.69345666666666,0.26305999999999996,99.90005,6.524888888888889,2.22774,30426.5730284202,22.8758922924008,72.1062618595825,0.0,0.827
BTN,73.97466333333334,0.026392,98.88823000000001,29.159,3.37511,3576.87987077877,4.35472736211207,71.3974829575249,81.0,0.668
BWA,64.86695333333334,2.972936,89.74745,47.72472222222222,6.12193,7172.08956480028,5.21851066192756,27.1257918232668,26.2,0.703
CAF,53.04564666666666,0.577704,39.44230666666667,104.52255555555556,7.7614,449.228467602439,2.44534403785222,35.8486628784231,91.3,0.391
CAN,82.01455,3.233332,99.18014333333333,2.7287222222222223,11.05897,46352.8693445211,20.9473478404705,38.6996371683291,22.4,0.932
CHE,83.45144333333333,3.6981960000000003,100.0,3.5000555555555555,11.42589,84121.9310304414,5.52792445261263,32.034468558678,24.8,0.96
CHL,81.01076,2.5560020000000003,100.0,6.0873888888888885,9.2992,14495.716721687,6.85127898361391,24.3268615204188,25.3,0.859
CHN,77.41800333333333,1.910708,94.80698,31.526444444444444,5.35028,10143.8602206165,10.1407082248561,23.2311175399783,14.3,0.775
CIV,63.62189000000001,0.77153,72.30208666666667,63.7595,3.18917,2141.76836170115,1.04362042377243,9.27547169811321,61.1,0.529
CMR,62.053066666666666,1.6192360000000001,66.52482666666667,70.66922222222223,3.65158,1555.22660476477,1.49001248525107,43.147976560682,78.9,0.586
COD,61.86389333333333,0.43383399999999994,37.20746666666667,70.87855555555556,3.50804,557.044161335917,0.533212092055207,56.1331289561324,96.3,0.476
COG,62.75436666666667,2.239772,68.80452666666666,57.53472222222222,2.34771,2488.42466724916,4.65582665573016,64.307467057101,69.8,0.596
COL,77.94302666666667,1.675528,93.83314,10.7815,7.77955,6472.54544924705,3.97921294558376,53.4846327174403,31.5,0.768
COM,68.11214666666667,0.071992,81.78169,55.91133333333333,5.18044,1519.26386436068,0.953624433940436,17.9258463191832,55.3,0.584
CPV,73.99914333333334,2.186832,87.15074333333332,32.126555555555555,4.47111,4380.7811916403,2.20441778317228,11.2704714640199,19.7,0.667
CRI,80.31251666666667,1.275716,99.75653666666666,6.006444444444444,7.22125,12884.6859951989,3.171403523475,59.1167254210732,33.4,0.811
CUB,77.69176,1.898684,92.99588333333334,13.816777777777778,11.08501,9232.26115935183,3.87532775153742,31.233140655106,23.1,0.766
CYP,82.17863,3.171472,99.77870333333334,5.342555555555555,7.06577,29703.052734375,7.57785012641149,18.6742424242424,12.0,0.901
CZE,79.12440666666667,5.1659880000000005,99.86690666666668,11.0385,7.61343,24062.7190013343,11.9808618358357,34.6514173213048,15.9,0.896
DEU,80.96969333333332,4.444098,100.0,5.0505,11.71595,47623.8656074829,9.73355240363197,32.6826755201923,17.1,0.951
DJI,65.44587666666666,0.1093,69.13716333333333,60.26005555555556,2.40641,2837.17103336917,1.87460561086571,0.245901639344262,23.4,0.508
DNK,81.27705333333334,3.692888,100.0,4.340888888888888,10.15244,59404.2663247723,7.88449823559418,15.6875,37.2,0.946
DOM,73.98877333333333,2.2461320000000002,94.62861,13.966555555555555,4.23949,8164.22080932117,4.06557969341593,44.3173806724841,14.4,0.765
